,S.No,BrandName,Product ID,Product Name,Brand Desc,Product Size,Currency,MRP,SellPrice,Discount,Category,delta
3863,3864,catwalk,CATWALK100,CATWALK100 - Footwear-Women,pu tie up womens casual wear loafers - black,"Size:4,5,6,7,8,9",Rs.,2295.0,1119,51% off,Footwear-Women,1176.0
3864,3865,catwalk,CATWALK101,CATWALK101 - Footwear-Women,fabric slipon womens casual wear ballerinas - tan,"Size:4,5,6,7,8,9",Rs.,2395.0,1119,53% off,Footwear-Women,1276.0
3865,3866,catwalk,CATWALK102,CATWALK102 - Footwear-Women,womens embroidered monks - rose,Size:9,Rs.,1995.0,947,53% off,Footwear-Women,1048.0
3866,3867,catwalk,CATWALK103,CATWALK103 - Footwear-Women,synthetic round toe womens casual wear sandals - khaki,"Size:5,6,7",Rs.,2795.0,2236,20% off,Footwear-Women,559.0
3867,3868,catwalk,CATWALK104,CATWALK104 - Footwear-Women,synthetic slip on womens casual wear sandals - gold,"Size:4,5,6,7,8,9",Rs.,2695.0,1347,50% off,Footwear-Women,1348.0
3868,3869,catwalk,CATWALK105,CATWALK105 - Footwear-Women,womens panelled corporate shoes - black,"Size:4,5,6",Rs.,2595.0,2076,20% off,Footwear-Women,519.0
3869,3870,catwalk,CATWALK106,CATWALK106 - Footwear-Women,womens pure leather stitch detailed ballerinas - black,"Size:5,6,7,8,9",Rs.,1995.0,1596,20% off,Footwear-Women,399.0
3870,3871,catwalk,CATWALK107,CATWALK107 - Footwear-Women,womens pure leather braided sandals - tan,"Size:4,5,6,7,8",Rs.,1895.0,1516,20% off,Footwear-Women,379.0
3871,3872,catwalk,CATWALK108,CATWALK108 - Footwear-Women,pu slipon womens casual wear platforms - tan,"Size:4,5,6,7,8,9",Rs.,1995.0,1596,20% off,Footwear-Women,399.0
3872,3873,catwalk,CATWALK109,CATWALK109 - Footwear-Women,womens metal accent thongs - black,"Size:4,5,6,7,8,9",Rs.,2195.0,1756,20% off,Footwear-Women,439.0
3873,3874,catwalk,CATWALK110,CATWALK110 - Footwear-Women,leather tie up womens work wear loafers - brown,"Size:4,5,6,7,8,9",Rs.,2495.0,1996,20% off,Footwear-Women,499.0
3874,3875,catwalk,CATWALK111,CATWALK111 - Footwear-Women,fabric slip on womens casual mules - gold,"Size:5,6,7",Rs.,2895.0,2316,20% off,Footwear-Women,579.0
3875,3876,catwalk,CATWALK112,CATWALK112 - Footwear-Women,perforations leather tie up womens formal flats - black,"Size:4,5,6,7,8,9",Rs.,2695.0,1347,50% off,Footwear-Women,1348.0
3876,3877,catwalk,CATWALK113,CATWALK113 - Footwear-Women,fabric buckle womens casual open toes - silver grey,"Size:5,6,7",Rs.,2295.0,1836,20% off,Footwear-Women,459.0
3877,3878,catwalk,CATWALK114,CATWALK114 - Footwear-Women,synthetic slipon womens casual wear platforms - silver grey,"Size:4,5,6,7,8",Rs.,2095.0,1047,50% off,Footwear-Women,1048.0
3878,3879,catwalk,CATWALK115,CATWALK115 - Footwear-Women,synthetic buckle womens casual wear ballerinas - gunmetal,"Size:5,6,7",Rs.,2095.0,1047,50% off,Footwear-Women,1048.0
3879,3880,catwalk,CATWALK116,CATWALK116 - Footwear-Women,womens pure leather laser-cut sandals - brown,"Size:7,8,9",Rs.,1795.0,1436,20% off,Footwear-Women,359.0
3880,3881,catwalk,CATWALK117,CATWALK117 - Footwear-Women,womens metallic accents toe ring wedges - maroon,"Size:4,5,6,7,8,9",Rs.,2195.0,1097,50% off,Footwear-Women,1098.0
3881,3882,catwalk,CATWALK118,CATWALK118 - Footwear-Women,womens criss cross corporate sandals - black,"Size:5,6,7,8",Rs.,2295.0,1836,20% off,Footwear-Women,459.0
3882,3883,catwalk,CATWALK119,CATWALK119 - Footwear-Women,womens pure leather stitch detailed ballerinas - natural,"Size:4,5,6,7,8",Rs.,1995.0,1596,20% off,Footwear-Women,399.0
3883,3884,catwalk,CATWALK120,CATWALK120 - Footwear-Women,fabric slipon womens casual wear platforms - bronze,"Size:4,5,6,7,8,9",Rs.,2095.0,1676,20% off,Footwear-Women,419.0
3884,3885,catwalk,CATWALK121,CATWALK121 - Footwear-Women,patent tie up womens casual wear boots - black,"Size:4,5,6,7,8,9",Rs.,3495.0,2796,20% off,Footwear-Women,699.0
3885,3886,catwalk,CATWALK122,CATWALK122 - Footwear-Women,womens velvet strappy slides - taupe,"Size:5,7",Rs.,1895.0,599,68% off,Footwear-Women,1296.0
3886,3887,catwalk,CATWALK123,CATWALK123 - Footwear-Women,suede slip on womens party platform sandals - black,"Size:4,5,6,7,8",Rs.,2495.0,1996,20% off,Footwear-Women,499.0
3887,3888,catwalk,CATWALK124,CATWALK124 - Footwear-Women,synthetic slipon womens casual wear ballerinas - gold,"Size:4,5,6,7",Rs.,2295.0,1836,20% off,Footwear-Women,459.0
3888,3889,catwalk,CATWALK125,CATWALK125 - Footwear-Women,polyurethane buckle womens ethnic open toes - brown,"Size:5,6,7",Rs.,2795.0,1397,50% off,Footwear-Women,1398.0
3889,3890,catwalk,CATWALK126,CATWALK126 - Footwear-Women,womens metallic accent slip ons - gunmetal,"Size:4,5,6,7,8,9",Rs.,2195.0,1756,20% off,Footwear-Women,439.0
3890,3891,catwalk,CATWALK127,CATWALK127 - Footwear-Women,womens lace upper textured sandals - black,"Size:4,5,7,8,9",Rs.,1995.0,1596,20% off,Footwear-Women,399.0
