,S.No,BrandName,Product ID,Product Name,Brand Desc,Product Size,Currency,MRP,SellPrice,Discount,Category,delta
0,1,4711,FR001,Cologne Fragrance,ekw eau de cologne 400 ml,Small,Rs.,3900.0,3120,20% off,Fragrance-Women,780.0
1,2,109f,DRW1,DRW1 - Westernwear-Women,womens v- neck short dress - yellow,"Size:Medium,Small,X-Large,XX-Large",Rs.,1899.0,569,70% off,Westernwear-Women,1330.0
2,3,109f,DRW2,DRW2 - Westernwear-Women,womens round neck solid top - black,"Size:Large,Medium,Small,X-Large",Rs.,1499.0,599,60% off,Westernwear-Women,900.0
3,4,109f,DRW3,DRW3 - Westernwear-Women,womens round neck stripe shift dress - red,"Size:Medium,Small",Rs.,1599.0,639,60% off,Westernwear-Women,960.0
4,5,109f,DRW4,DRW4 - Westernwear-Women,womens round neck solid high low top - black,"Size:Large,Medium,Small,X-Large",Rs.,1199.0,479,60% off,Westernwear-Women,720.0
5,6,109f,DRW5,DRW5 - Westernwear-Women,womens v-neck solid top - black,"Size:Large,Medium,Small,X-Small",Rs.,1199.0,479,60% off,Westernwear-Women,720.0
6,7,109f,DRW6,DRW6 - Westernwear-Women,womens off shoulder neck checked top - navy,"Size:Small,X-Large",Rs.,1299.0,519,60% off,Westernwear-Women,780.0
7,8,109f,DRW7,DRW7 - Westernwear-Women,womens v neck checked top - black,"Size:Large,Medium,Small",Rs.,1499.0,599,60% off,Westernwear-Women,900.0
8,9,109f,DRW8,DRW8 - Westernwear-Women,womens round neck solid shift dress - black,Size:Medium,Rs.,1799.0,719,60% off,Westernwear-Women,1080.0
9,10,109f,DRW9,DRW9 - Westernwear-Women,womens round neck solid top - black,"Size:Large,Medium,X-Large,XX-Large",Rs.,999.0,399,60% off,Westernwear-Women,600.0
10,11,109f,DRW10,DRW10 - Westernwear-Women,womens spaghetti neck printed top - natural,"Size:Large,Medium,Small,X-Large,XX-Large",Rs.,1299.0,519,60% off,Westernwear-Women,780.0
11,12,109f,DRW11,DRW11 - Westernwear-Women,womens round neck embroidered top - black,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large",Rs.,2499.0,999,60% off,Westernwear-Women,1500.0
12,13,109f,DRW12,DRW12 - Westernwear-Women,womens mandarin collar solid eyelet skater dress - green,"Size:X-Large,XX-Large",Rs.,3499.0,1399,60% off,Westernwear-Women,2100.0
13,14,109f,DRW13,DRW13 - Westernwear-Women,womens off shoulder solid shift dress - blue,"Size:Small,X-Small",Rs.,1799.0,539,70% off,Westernwear-Women,1260.0
14,15,109f,DRW14,DRW14 - Westernwear-Women,womens round neck embroidered top - cream,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large",Rs.,1999.0,799,60% off,Westernwear-Women,1200.0
15,16,109f,DRW15,DRW15 - Westernwear-Women,womens 2 pocket solid pants - navy,"Size:Small,X-Small",Rs.,1899.0,759,60% off,Westernwear-Women,1140.0
16,17,109f,DRW16,DRW16 - Westernwear-Women,womens ruffled collar self printed top - natural,"Size:Large,Medium,Small,X-Large,XX-Large",Rs.,1499.0,599,60% off,Westernwear-Women,900.0
17,18,109f,DRW17,DRW17 - Westernwear-Women,womens round neck solid top - birch,Size:X-Small,Rs.,1199.0,479,60% off,Westernwear-Women,720.0
18,19,109f,DRW18,DRW18 - Westernwear-Women,womens round neck solid knee length dress - black,Size:X-Small,Rs.,1999.0,799,60% off,Westernwear-Women,1200.0
19,20,109f,DRW19,DRW19 - Westernwear-Women,womens scoop neck lace top - dark brown,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",Rs.,1799.0,719,60% off,Westernwear-Women,1080.0
20,21,109f,DRW20,DRW20 - Westernwear-Women,printed polyester cowl neck womens dress - multi,"Size:Large,Medium,X-Large",Rs.,2418.9,2199,10% off,Westernwear-Women,219.9000000000001
21,22,109f,DRW21,DRW21 - Westernwear-Women,printed rayon round neck womens top - print,"Size:Large,Medium,Small,X-Large,XX-Large",Rs.,1868.9,1699,10% off,Westernwear-Women,169.9000000000001
22,23,109f,DRW22,DRW22 - Westernwear-Women,womens round neck textured maxi dress - black,"Size:Large,Small",Rs.,2899.0,1159,60% off,Westernwear-Women,1740.0
23,24,109f,DRW23,DRW23 - Westernwear-Women,solid polyester halter neck womens top - olive,"Size:Large,Medium,X-Large,XX-Large",Rs.,1648.9,1499,10% off,Westernwear-Women,149.9000000000001
24,25,109f,DRW24,DRW24 - Westernwear-Women,womens tie up neck embroidered top - black,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large",Rs.,1978.9,1799,10% off,Westernwear-Women,179.9000000000001
25,26,109f,DRW25,DRW25 - Westernwear-Women,womens 2 pocket solid trousers - green,Size:X-Small,Rs.,1499.0,599,60% off,Westernwear-Women,900.0
26,27,109f,DRW26,DRW26 - Westernwear-Women,womens off shoulder neck embroidered top - blue,"Size:Large,Medium,Small,X-Large,XX-Large",Rs.,1499.0,599,60% off,Westernwear-Women,900.0
27,28,109f,DRW27,DRW27 - Westernwear-Women,womens peter pan collar solid a-line dress - black,Size:Small,Rs.,2399.0,959,60% off,Westernwear-Women,1440.0
28,29,109f,DRW28,DRW28 - Westernwear-Women,womens embroidered casual skirt - grey,"Size:Small,XX-Large",Rs.,2499.0,999,60% off,Westernwear-Women,1500.0
29,30,109f,DRW29,DRW29 - Westernwear-Women,womens open front neck slub long shrug - grey,Size:Small,Rs.,1799.0,719,60% off,Westernwear-Women,1080.0
30,31,109f,DRW30,DRW30 - Westernwear-Women,womens mandarin collar striped long shirt - lime green,Size:Small,Rs.,1599.0,639,60% off,Westernwear-Women,960.0
31,32,109f,DRW31,DRW31 - Westernwear-Women,stripes shirt collar rayon womens casual shirt - off white,"Size:Large,Medium,Small,XX-Large",Rs.,1758.9,1599,10% off,Westernwear-Women,159.9000000000001
32,33,109f,DRW32,DRW32 - Westernwear-Women,womens cold shoulder sleeves self pattern top - birch,"Size:Large,Small,X-Large,XX-Large",Rs.,2299.0,919,60% off,Westernwear-Women,1380.0
33,34,109f,DRW33,DRW33 - Westernwear-Women,womens strappy neck printed maxi dress - black,"Size:Small,X-Small",Rs.,2499.0,999,60% off,Westernwear-Women,1500.0
34,35,109f,DRW34,DRW34 - Westernwear-Women,printed polyester round neck womens sweatshirt - maroon,"Size:Large,Medium,X-Large,XX-Large",Rs.,2748.9,2499,10% off,Westernwear-Women,249.9000000000001
35,36,109f,DRW35,DRW35 - Westernwear-Women,womens mandarin neck solid knee length dress - black,"Size:Large,Medium,X-Large",Rs.,2499.0,999,60% off,Westernwear-Women,1500.0
36,37,109f,DRW36,DRW36 - Westernwear-Women,womens round neck floral print tunic - yellow,Size:Medium,Rs.,1799.0,719,60% off,Westernwear-Women,1080.0
37,38,109f,DRW37,DRW37 - Westernwear-Women,womens off shoulder stripe embroidered top - red,"Size:Large,Medium,Small",Rs.,999.0,399,60% off,Westernwear-Women,600.0
38,39,109f,DRW38,DRW38 - Westernwear-Women,womens 5 pocket solid pants - navy,"Size:Large,Medium,Small,X-Large,X-Small",Rs.,2899.0,1159,60% off,Westernwear-Women,1740.0
39,40,109f,DRW39,DRW39 - Westernwear-Women,womens round neck solid jumpsuit - dark brown,Size:Large,Rs.,1999.0,799,60% off,Westernwear-Women,1200.0
40,41,109f,DRW40,DRW40 - Westernwear-Women,womens one shoulder printed top - multi,"Size:Small,X-Large,X-Small",Rs.,1428.9,1299,10% off,Westernwear-Women,129.9000000000001
41,42,109f,DRW41,DRW41 - Westernwear-Women,womens round neck textured top - green,Size:XX-Large,Rs.,999.0,399,60% off,Westernwear-Women,600.0
42,43,109f,DRW42,DRW42 - Westernwear-Women,womens collared stripe top - black,"Size:Large,Medium,Small,X-Small",Rs.,1199.0,479,60% off,Westernwear-Women,720.0
43,44,109f,DRW43,DRW43 - Westernwear-Women,womens off shoulder embroidered top - cream,"Size:Large,Medium,Small,X-Large,XX-Large",Rs.,1699.0,679,60% off,Westernwear-Women,1020.0
44,45,109f,DRW44,DRW44 - Westernwear-Women,womens floral print empire waist dress - grey,"Size:Medium,Small",Rs.,2199.0,879,60% off,Westernwear-Women,1320.0
45,46,109f,DRW45,DRW45 - Westernwear-Women,womens round neck slub top - grey,"Size:X-Large,X-Small",Rs.,1499.0,599,60% off,Westernwear-Women,900.0
46,47,109f,DRW46,DRW46 - Westernwear-Women,womens round neck lace top - pink,Size:X-Large,Rs.,1799.0,719,60% off,Westernwear-Women,1080.0
47,48,109f,DRW47,DRW47 - Westernwear-Women,womens round neck solid top - natural,"Size:Large,X-Large",Rs.,1199.0,479,60% off,Westernwear-Women,720.0
48,49,109f,DRW48,DRW48 - Westernwear-Women,womens embroidered casual shirt - cream,"Size:X-Large,XX-Large",Rs.,1499.0,599,60% off,Westernwear-Women,900.0
49,50,109f,DRW49,DRW49 - Westernwear-Women,solid shirt collar polyester womens top - purple,"Size:Large,Medium,Small,X-Large,XX-Large",Rs.,1868.9,1699,10% off,Westernwear-Women,169.9000000000001
50,51,109f,DRW50,DRW50 - Westernwear-Women,womens mandarin neck printed shirt - black,"Size:Large,Medium,Small,X-Large,XX-Large",Rs.,1699.0,679,60% off,Westernwear-Women,1020.0
51,52,109f,DRW51,DRW51 - Westernwear-Women,womens round neck solid top - blush,Size:X-Large,Rs.,1499.0,599,60% off,Westernwear-Women,900.0
52,53,109f,DRW52,DRW52 - Westernwear-Women,womens tie up neck floral print top - black,"Size:Large,Medium,Small,X-Large,XX-Large",Rs.,1599.0,639,60% off,Westernwear-Women,960.0
53,54,109f,DRW53,DRW53 - Westernwear-Women,womens round neck slub embroidered peplum top - grey,"Size:Large,Small,X-Large,XX-Large",Rs.,1399.0,559,60% off,Westernwear-Women,840.0
54,55,109f,DRW54,DRW54 - Westernwear-Women,solid polyester round neck womens dress - maroon,"Size:Large,Medium,X-Large,XX-Large",Rs.,2418.9,2199,10% off,Westernwear-Women,219.9000000000001
55,56,109f,DRW55,DRW55 - Westernwear-Women,womens tie up neck solid top - carrot,"Size:Large,Medium,Small,X-Small",Rs.,1699.0,639,62% off,Westernwear-Women,1060.0
56,57,109f,DRW56,DRW56 - Westernwear-Women,womens collared stripe skater dress - cream,"Size:X-Large,XX-Large",Rs.,1799.0,719,60% off,Westernwear-Women,1080.0
57,58,109f,DRW57,DRW57 - Westernwear-Women,checks rayon mandarin womens dress - black mix,"Size:Large,Medium,Small,X-Large,XX-Large",Rs.,1758.9,1599,10% off,Westernwear-Women,159.9000000000001
58,59,109f,DRW58,DRW58 - Westernwear-Women,womens tie up neck striped top - blue,Size:X-Small,Rs.,2499.0,499,80% off,Westernwear-Women,2000.0
59,60,109f,DRW59,DRW59 - Westernwear-Women,womens mandarin collar striped top - black,Size:Small,Rs.,1599.0,639,60% off,Westernwear-Women,960.0
60,61,109f,DRW60,DRW60 - Westernwear-Women,stripes polyester v neck womens top - black,"Size:Large,Medium,X-Large,XX-Large",Rs.,1648.9,1499,10% off,Westernwear-Women,149.9000000000001
61,62,109f,DRW61,DRW61 - Westernwear-Women,womens round neck lace top - birch,"Size:X-Large,XX-Large",Rs.,2299.0,919,60% off,Westernwear-Women,1380.0
62,63,109f,DRW62,DRW62 - Westernwear-Women,womens round neck embroidered short dress - natural,"Size:Large,Small,X-Large",Rs.,2858.9,2599,10% off,Westernwear-Women,259.9000000000001
63,64,109f,DRW63,DRW63 - Westernwear-Women,womens tie up neck solid top - cream,"Size:Large,Medium,X-Large,XX-Large,XXX-Large",Rs.,1799.0,719,60% off,Westernwear-Women,1080.0
64,65,109f,DRW64,DRW64 - Westernwear-Women,womens tie up neck printed top - navy,Size:X-Large,Rs.,999.0,399,60% off,Westernwear-Women,600.0
65,66,109f,DRW65,DRW65 - Westernwear-Women,womens printed casual shirt - black,Size:X-Small,Rs.,1799.0,719,60% off,Westernwear-Women,1080.0
66,67,109f,DRW66,DRW66 - Westernwear-Women,womens round neck solid top - green,"Size:Large,X-Large",Rs.,1399.0,559,60% off,Westernwear-Women,840.0
67,68,109f,DRW67,DRW67 - Westernwear-Women,solid polyester halter neck womens top - fuschia,"Size:Large,Medium,X-Large,XX-Large",Rs.,1648.9,1499,10% off,Westernwear-Women,149.9000000000001
68,69,109f,DRW68,DRW68 - Westernwear-Women,womens notched neck embroidered top - cream,"Size:X-Large,XX-Large,XXX-Large",Rs.,1699.0,679,60% off,Westernwear-Women,1020.0
69,70,109f,DRW69,DRW69 - Westernwear-Women,checks polyester blend collar neck womens casual shirt - black,"Size:Large,Medium,Small,X-Large,XX-Large",Rs.,1868.9,1699,10% off,Westernwear-Women,169.9000000000001
70,71,109f,DRW70,DRW70 - Westernwear-Women,womens round neck self printed top - yellow,"Size:Large,Medium,Small,X-Large,XX-Large",Rs.,1299.0,519,60% off,Westernwear-Women,780.0
71,72,109f,DRW71,DRW71 - Westernwear-Women,printed round neck rayon womens top - red,"Size:Large,Medium,Small",Rs.,1648.9,1499,10% off,Westernwear-Women,149.9000000000001
72,73,109f,DRW72,DRW72 - Westernwear-Women,womens round neck slub top - yellow,"Size:Large,Medium,Small",Rs.,1499.0,599,60% off,Westernwear-Women,900.0
73,74,109f,DRW73,DRW73 - Westernwear-Women,womens off shoulder checked top - blue,"Size:Large,X-Large",Rs.,1648.9,1499,10% off,Westernwear-Women,149.9000000000001
74,75,109f,DRW74,DRW74 - Westernwear-Women,womens mandarin collar embroidered top - black,Size:Small,Rs.,1599.0,639,60% off,Westernwear-Women,960.0
75,76,109f,DRW75,DRW75 - Westernwear-Women,womens round neck printed top - navy,"Size:Large,Medium,Small,X-Small",Rs.,1428.9,1299,10% off,Westernwear-Women,129.9000000000001
76,77,109f,DRW76,DRW76 - Westernwear-Women,womens round neck embroidered top - cream,"Size:Large,Medium,Small,X-Large,XX-Large",Rs.,1199.0,479,60% off,Westernwear-Women,720.0
77,78,109f,DRW77,DRW77 - Westernwear-Women,printed polyester v neck womens top - print,"Size:Large,Medium,Small,X-Large,XX-Large",Rs.,1758.9,1599,10% off,Westernwear-Women,159.9000000000001
78,79,109f,DRW78,DRW78 - Westernwear-Women,womens v neck solid top - red,Size:Medium,Rs.,1318.9,1199,10% off,Westernwear-Women,119.90000000000009
79,80,109f,DRW79,DRW79 - Westernwear-Women,womens round neck embellished top - birch,"Size:Large,Medium,X-Large,XX-Large",Rs.,2299.0,919,60% off,Westernwear-Women,1380.0
80,81,109f,DRW80,DRW80 - Westernwear-Women,womens solid a-line dress - natural,"Size:Large,Small,X-Large,X-Small,XX-Large",Rs.,2198.9,1999,10% off,Westernwear-Women,199.9000000000001
81,82,109f,DRW81,DRW81 - Westernwear-Women,womens solid jeggings - navy,"Size:Small,X-Small",Rs.,1899.0,759,60% off,Westernwear-Women,1140.0
82,83,109f,DRW82,DRW82 - Westernwear-Women,womens collared check skater dress - blue,Size:Large,Rs.,2418.9,2199,10% off,Westernwear-Women,219.9000000000001
83,84,109f,DRW83,DRW83 - Westernwear-Women,printed polyester blend round neck womens casual shirt - black,"Size:Large,Medium,Small,X-Large,XX-Large",Rs.,1868.9,1699,10% off,Westernwear-Women,169.9000000000001
84,85,109f,DRW84,DRW84 - Westernwear-Women,solid polyester round neck womens top - blue,"Size:Large,Medium,X-Large,XX-Large",Rs.,1648.9,1499,10% off,Westernwear-Women,149.9000000000001
85,86,109f,DRW85,DRW85 - Westernwear-Women,stripes rayon collar neck womens dress - black,"Size:Large,Small",Rs.,1758.9,1599,10% off,Westernwear-Women,159.9000000000001
86,87,109f,DRW86,DRW86 - Westernwear-Women,womens round neck solid top - yellow,Size:X-Large,Rs.,1499.0,599,60% off,Westernwear-Women,900.0
87,88,109f,DRW87,DRW87 - Westernwear-Women,womens collared check ruffled shirt - navy,Size:Large,Rs.,1978.9,1799,10% off,Westernwear-Women,179.9000000000001
88,89,109f,DRW88,DRW88 - Westernwear-Women,womens solid casual maxi dress - red,"Size:Medium,Small",Rs.,2799.0,1119,60% off,Westernwear-Women,1680.0
89,90,109f,DRW89,DRW89 - Westernwear-Women,womens round neck printed ruffled top - blush,"Size:Medium,Small",Rs.,1399.0,559,60% off,Westernwear-Women,840.0
90,91,109f,DRW90,DRW90 - Westernwear-Women,womens 5 pocket coated jeans - blue,"Size:Small,X-Small",Rs.,1999.0,799,60% off,Westernwear-Women,1200.0
91,92,109f,DRW91,DRW91 - Westernwear-Women,womens tie up neck floral print a-line dress - birch,"Size:Large,X-Large",Rs.,1999.0,799,60% off,Westernwear-Women,1200.0
92,93,109f,DRW92,DRW92 - Westernwear-Women,checkered shirt collar polyester cotton womens casual shirt - blue,"Size:Large,Medium,Small,X-Large",Rs.,1868.9,1699,10% off,Westernwear-Women,169.9000000000001
93,94,109f,DRW93,DRW93 - Westernwear-Women,womens round neck floral print top - lime green,"Size:Large,Small",Rs.,1499.0,599,60% off,Westernwear-Women,900.0
94,95,109f,DRW94,DRW94 - Westernwear-Women,printed polyester round neck womens sweatshirt - grey,"Size:Large,Medium,X-Large,XX-Large",Rs.,2748.9,2499,10% off,Westernwear-Women,249.9000000000001
95,96,109f,DRW95,DRW95 - Westernwear-Women,solid cotton high neck womens top - black,"Size:Large,Medium,Small,X-Large,XX-Large",Rs.,1868.9,1699,10% off,Westernwear-Women,169.9000000000001
96,97,109f,DRW96,DRW96 - Westernwear-Women,womens semi square neck solid midi dress - red,Size:Small,Rs.,2299.0,919,60% off,Westernwear-Women,1380.0
97,98,109f,DRW97,DRW97 - Westernwear-Women,womens off shoulder neck solid top - navy,"Size:Medium,X-Small",Rs.,1499.0,599,60% off,Westernwear-Women,900.0
98,99,109f,DRW98,DRW98 - Westernwear-Women,womens solid casual pants - off white,"Size:Large,XX-Large",Rs.,1999.0,599,70% off,Westernwear-Women,1400.0
99,100,109f,DRW99,DRW99 - Westernwear-Women,womens round neck floral print top - grey,Size:X-Small,Rs.,1299.0,519,60% off,Westernwear-Women,780.0
100,101,109f,DRW100,DRW100 - Westernwear-Women,womens round neck solid top - black,"Size:Large,Medium,Small,X-Large,X-Small",Rs.,1318.9,1199,10% off,Westernwear-Women,119.90000000000009
101,102,109f,DRW101,DRW101 - Westernwear-Women,womens collared checked tunic - green,"Size:Large,Small,X-Large",Rs.,2198.9,1999,10% off,Westernwear-Women,199.9000000000001
102,103,109f,DRW102,DRW102 - Westernwear-Women,womens textured casual top - blue,"Size:Large,Medium,Small,X-Large",Rs.,1318.9,1199,10% off,Westernwear-Women,119.90000000000009
103,104,109f,DRW103,DRW103 - Westernwear-Women,solid rayon round neck womens top - yellow,"Size:Large,X-Large",Rs.,1648.9,1499,10% off,Westernwear-Women,149.9000000000001
104,105,109f,DRW104,DRW104 - Westernwear-Women,womens round neck embroidered top - coral,Size:Small,Rs.,1399.0,559,60% off,Westernwear-Women,840.0
105,106,109f,DRW105,DRW105 - Westernwear-Women,solid viscose round neck womens regular fit top - yellow,"Size:Large,Medium,Small,X-Large,XX-Large",Rs.,1428.9,1299,10% off,Westernwear-Women,129.9000000000001
106,107,109f,DRW106,DRW106 - Westernwear-Women,womens solid casual shirt - natural,Size:X-Large,Rs.,1699.0,679,60% off,Westernwear-Women,1020.0
107,108,109f,DRW107,DRW107 - Westernwear-Women,womens round neck lace top - birch,Size:Medium,Rs.,1599.0,639,60% off,Westernwear-Women,960.0
108,109,109f,DRW108,DRW108 - Westernwear-Women,printed round neck rayon womens top - black,"Size:Medium,Small,X-Large",Rs.,1868.9,1699,10% off,Westernwear-Women,169.9000000000001
109,110,109f,DRW109,DRW109 - Westernwear-Women,checks rayon mandarin womens top - black,"Size:X-Large,XX-Large",Rs.,1868.9,1699,10% off,Westernwear-Women,169.9000000000001
110,111,109f,DRW110,DRW110 - Westernwear-Women,solid shirt collar regular fit womens casual shirt - olive,Size:X-Large,Rs.,1648.9,1499,10% off,Westernwear-Women,149.9000000000001
111,112,109f,DRW111,DRW111 - Westernwear-Women,womens round neck solid top - black,Size:X-Small,Rs.,1299.0,519,60% off,Westernwear-Women,780.0
112,113,109f,DRW112,DRW112 - Westernwear-Women,womens one shoulder solid top - blue,"Size:Small,X-Small",Rs.,1538.9,1399,10% off,Westernwear-Women,139.9000000000001
113,114,109f,DRW113,DRW113 - Westernwear-Women,womens round neck solid embroidered top - white,Size:Small,Rs.,1399.0,559,60% off,Westernwear-Women,840.0
114,115,109f,DRW114,DRW114 - Westernwear-Women,stripes rayon mandarin womens dress - mustard,"Size:Large,Medium,Small,X-Large,XX-Large",Rs.,2418.9,2199,10% off,Westernwear-Women,219.9000000000001
115,116,18.21 man made,FW1,FW1 - Fragrance-Women,spiced vanilla man made wash 946 ml,Nan,Rs.,6050.0,5500,10% off,Fragrance-Women,550.0
116,117,aarke,AARKE1,AARKE1 - Westernwear-Women,solid sleeveless polyester blend womens jumpsuit - black,"Size:Large,Medium,Small,X-Small",Rs.,3190.0,2900,10% off,Westernwear-Women,290.0
117,118,aarke,AARKE2,AARKE2 - Indianwear-Women,printed chiffon v neck womens short top - dusty pink,"Size:Large,Medium,X-Large",Rs.,2530.0,2300,10% off,Indianwear-Women,230.0
118,119,aarke,AARKE3,AARKE3 - Indianwear-Women,regular fit calf length polyester blend womens fusion wear skirt - rust,"Size:Large,Medium,Small,X-Large",Rs.,2090.0,1900,10% off,Indianwear-Women,190.0
119,120,aarke,AARKE4,AARKE4 - Indianwear-Women,regular fit calf length polyester blend womens fusion wear skirt - green,"Size:Large,Medium,Small,X-Large",Rs.,2090.0,1900,10% off,Indianwear-Women,190.0
120,121,aarke,AARKE5,AARKE5 - Indianwear-Women,printed round neck polyester blend womens dress - blue,"Size:Large,Medium,Small,X-Small",Rs.,4290.0,3900,10% off,Indianwear-Women,390.0
121,122,aarke,AARKE6,AARKE6 - Indianwear-Women,printed polyester blend round neck womens short top - ecru,"Size:Large,Medium,Small",Rs.,2090.0,1900,10% off,Indianwear-Women,190.0
122,123,aarke,AARKE7,AARKE7 - Indianwear-Women,printed polyester blend v neck womens short top - ecru,"Size:Large,Medium,Small,X-Large",Rs.,2090.0,1900,10% off,Indianwear-Women,190.0
123,124,aarke,AARKE8,AARKE8 - Indianwear-Women,printed polyester blend mandarin womens fusion wear kurta - blue,"Size:Large,Medium,Small,X-Large,X-Small",Rs.,3740.0,3400,10% off,Indianwear-Women,340.0
124,125,aarke,AARKE9,AARKE9 - Indianwear-Women,printed square neck rayon blend womens long dress - blue,"Size:Large,Medium,Small,X-Small",Rs.,3190.0,2900,10% off,Indianwear-Women,290.0
125,126,aarke,AARKE10,AARKE10 - Indianwear-Women,embroidered rayon blend round neck womens ethnic set - red,"Size:Large,Medium,Small,X-Large,XX-Large",Rs.,6160.0,5600,10% off,Indianwear-Women,560.0
126,127,aarke,AARKE11,AARKE11 - Indianwear-Women,embroidered rayon blend v neck womens short top - blue,"Size:Large,Medium,Small,X-Large",Rs.,2970.0,2700,10% off,Indianwear-Women,270.0
127,128,aarke,AARKE12,AARKE12 - Indianwear-Women,printed cotton blend round neck womens ethnic set - ecru,"Size:Large,Medium,Small,X-Small",Rs.,3850.0,3500,10% off,Indianwear-Women,350.0
128,129,aarke,AARKE13,AARKE13 - Indianwear-Women,embroidered rayon blend round neck womens ethnic set - blue,"Size:Large,Medium,Small,X-Small",Rs.,6490.0,5900,10% off,Indianwear-Women,590.0
129,130,aarke,AARKE14,AARKE14 - Indianwear-Women,printed rayon blend round neck womens ethnic set - blue,"Size:Large,Small,X-Large",Rs.,5170.0,4700,10% off,Indianwear-Women,470.0
130,131,aarke,AARKE15,AARKE15 - Indianwear-Women,printed cotton blend collar neck womens shirt blouse - ecru,"Size:Medium,Small,X-Large",Rs.,1980.0,1800,10% off,Indianwear-Women,180.0
131,132,aarke,AARKE16,AARKE16 - Indianwear-Women,embroidered v neck rayon blend womens dress - lavender,"Size:Large,Medium,Small,X-Small",Rs.,3520.0,3200,10% off,Indianwear-Women,320.0
132,133,aarke,AARKE17,AARKE17 - Indianwear-Women,printed cotton blend collar neck womens shirt blouse - red,"Size:Large,Small",Rs.,1980.0,1800,10% off,Indianwear-Women,180.0
133,134,aarke,AARKE18,AARKE18 - Indianwear-Women,printed chiffon round neck womens short top - violet,"Size:Large,Small,X-Large",Rs.,2640.0,2400,10% off,Indianwear-Women,240.0
134,135,aarke,AARKE19,AARKE19 - Indianwear-Women,printed v neck rayon blend womens long dress - blue,"Size:Large,X-Large,X-Small",Rs.,3190.0,2900,10% off,Indianwear-Women,290.0
135,136,aarke,AARKE20,AARKE20 - Indianwear-Women,printed polyester blend collar neck womens shirt blouse - blue,Size:Small,Rs.,2860.0,2600,10% off,Indianwear-Women,260.0
136,137,aarke,AARKE21,AARKE21 - Indianwear-Women,printed square neck rayon blend womens long dress - rust,"Size:Medium,Small,X-Small",Rs.,3190.0,2900,10% off,Indianwear-Women,290.0
137,138,aarke,AARKE22,AARKE22 - Indianwear-Women,embroidered rayon blend round neck womens ethnic set - yellow,"Size:Large,Medium,Small",Rs.,6490.0,5900,10% off,Indianwear-Women,590.0
138,139,aarke,AARKE23,AARKE23 - Indianwear-Women,printed round neck polyester blend womens dress - pink,"Size:Large,Medium,Small,X-Small",Rs.,4290.0,3900,10% off,Indianwear-Women,390.0
139,140,aarke,AARKE24,AARKE24 - Indianwear-Women,printed mandarin cotton blend womens dress - pink,"Size:Medium,Small,X-Small",Rs.,,2900,10% off,Indianwear-Women,
140,141,aarke,AARKE25,AARKE25 - Indianwear-Women,printed square neck cotton blend womens dress - red,"Size:Large,Medium,Small,X-Small",Rs.,,2900,10% off,Indianwear-Women,
141,142,aarke,AARKE26,AARKE26 - Indianwear-Women,printed polyester blend v neck womens short top - yellow,"Size:Medium,Small",Rs.,,1900,10% off,Indianwear-Women,
142,143,aarke,AARKE27,AARKE27 - Indianwear-Women,embroidered cotton blend round neck womens ethnic set - turquoise,"Size:Medium,Small,X-Large",Rs.,,5500,10% off,Indianwear-Women,
143,144,aarke,AARKE28,AARKE28 - Indianwear-Women,printed chiffon round neck womens short top - yellow,"Size:Large,Medium,X-Large",Rs.,,2400,10% off,Indianwear-Women,
144,145,aarke,AARKE29,AARKE29 - Indianwear-Women,printed rayon blend round neck womens ethnic set - rust,"Size:Large,Medium,Small,X-Large",Rs.,0.0,4700,10% off,Indianwear-Women,-4700.0
145,146,aarke,AARKE30,AARKE30 - Indianwear-Women,printed rayon blend round neck womens ethnic set - sky blue,"Size:Large,Medium,X-Large",Rs.,0.0,3900,10% off,Indianwear-Women,-3900.0
146,147,aarke,AARKE31,AARKE31 - Indianwear-Women,printed square neck cotton blend womens dress - ecru,"Size:Large,Medium,Small,X-Small",Rs.,0.0,2900,10% off,Indianwear-Women,-2900.0
147,148,aarke,AARKE32,AARKE32 - Indianwear-Women,printed cowl neck polyester blend womens long dress - white,"Size:Medium,Small,X-Small",Rs.,0.0,3400,10% off,Indianwear-Women,-3400.0
148,149,aarke,AARKE33,AARKE33 - Indianwear-Women,printed round neck cotton blend womens dress - blue,"Size:Large,Medium,Small,X-Small",Rs.,0.0,2900,10% off,Indianwear-Women,-2900.0
149,150,aarke,AARKE34,AARKE34 - Indianwear-Women,printed round neck chiffon womens dress - pink,"Size:Large,Medium,Small",Rs.,0.0,3600,10% off,Indianwear-Women,-3600.0
150,151,aarke,AARKE35,AARKE35 - Indianwear-Women,printed square neck rayon slub womens short top - turquoise,Size:Large,Rs.,0.0,1700,10% off,Indianwear-Women,-1700.0
151,152,aarke,AARKE36,AARKE36 - Indianwear-Women,embroidered poly cotton round neck womens ethnic set - gold,"Size:Medium,Small",Rs.,0.0,5900,10% off,Indianwear-Women,-5900.0
152,153,aarke,AARKE37,AARKE37 - Indianwear-Women,printed shirt collar rayon slub womens top - red,Size:Medium,Rs.,1900.0,1140,40% off,Indianwear-Women,760.0
